"wage","education","experience","ethnicity","smsa","south","age","nearcollege"
808,16,7,"other","yes","no",29,"yes"
925,11,10,"other","yes","no",27,"yes"
550,9,10,"other","yes","no",25,"yes"
271,12,8,"other","yes","no",26,"yes"
833,7,19,"other","yes","no",32,"yes"
1200,12,12,"other","yes","no",30,"yes"
581,14,13,"other","yes","no",33,"yes"
686,17,11,"afam","yes","no",34,"yes"
1000,18,8,"afam","yes","no",32,"yes"
537,13,5,"afam","yes","no",24,"yes"
690,12,10,"afam","yes","no",28,"yes"
500,12,10,"other","yes","no",28,"yes"
750,13,14,"other","yes","no",33,"yes"
913,17,6,"other","yes","yes",29,"yes"
600,15,3,"other","yes","no",24,"yes"
577,16,2,"other","yes","no",24,"yes"
601,12,8,"other","yes","no",26,"yes"
577,12,13,"other","yes","no",31,"yes"
677,12,14,"other","yes","no",32,"yes"
473,18,3,"afam","yes","no",27,"yes"
350,14,4,"other","yes","no",24,"yes"
620,15,11,"other","yes","no",32,"yes"
378,16,2,"other","yes","no",24,"yes"
243,16,3,"other","yes","no",25,"yes"
750,12,8,"other","yes","no",26,"yes"
441,18,6,"other","no","no",30,"yes"
688,14,9,"other","yes","no",29,"yes"
501,18,1,"other","no","no",25,"yes"
400,12,11,"other","yes","no",29,"yes"
981,12,8,"other","yes","no",26,"yes"
649,14,10,"other","yes","yes",30,"yes"
625,12,14,"other","yes","no",32,"yes"
707,16,6,"afam","yes","no",28,"yes"
1043,12,11,"other","yes","no",29,"yes"
761,12,9,"other","yes","no",27,"yes"
524,13,6,"other","no","no",25,"yes"
575,13,8,"afam","yes","no",27,"yes"
865,14,6,"afam","yes","no",26,"yes"
713,12,10,"afam","yes","no",28,"yes"
673,16,5,"other","yes","no",27,"yes"
662,12,7,"other","yes","no",25,"yes"
543,14,9,"other","yes","no",29,"yes"
525,13,6,"other","yes","no",25,"yes"
640,12,10,"other","yes","no",28,"yes"
297,12,8,"other","yes","no",26,"yes"
947,8,19,"afam","yes","no",33,"yes"
500,12,16,"afam","yes","no",34,"yes"
620,13,6,"afam","yes","no",25,"yes"
277,12,7,"afam","yes","no",25,"yes"
240,10,10,"other","no","yes",26,"yes"
240,10,9,"other","no","yes",25,"yes"
462,12,15,"other","yes","no",33,"yes"
404,12,9,"afam","yes","no",27,"yes"
450,12,7,"afam","yes","no",25,"yes"
250,12,6,"afam","yes","no",24,"yes"
727,11,9,"afam","yes","no",26,"yes"
667,12,6,"afam","yes","no",24,"yes"
962,12,10,"afam","yes","no",28,"yes"
750,14,7,"other","yes","no",27,"yes"
667,14,5,"other","yes","no",25,"yes"
692,17,11,"other","no","no",34,"yes"
465,12,7,"afam","yes","no",25,"yes"
641,12,12,"afam","yes","no",30,"yes"
710,11,12,"afam","yes","no",29,"yes"
425,13,6,"afam","yes","no",25,"yes"
833,12,9,"other","yes","no",27,"yes"
308,12,8,"other","yes","no",26,"yes"
625,16,7,"other","yes","no",29,"yes"
1442,16,10,"other","yes","no",32,"yes"
673,16,3,"other","yes","no",25,"yes"
1346,17,5,"other","yes","no",28,"yes"
400,17,10,"other","yes","no",33,"yes"
518,9,19,"other","no","no",34,"yes"
456,14,6,"other","yes","no",26,"yes"
409,17,10,"other","yes","yes",33,"yes"
559,18,10,"other","yes","no",34,"yes"
230,12,6,"afam","yes","no",24,"yes"
1026,17,4,"other","yes","no",27,"yes"
1082,12,9,"other","yes","no",27,"yes"
1202,14,4,"other","yes","no",24,"yes"
329,17,2,"other","no","no",25,"yes"
481,18,3,"other","yes","no",27,"yes"
673,18,0,"other","yes","yes",24,"yes"
1683,17,8,"other","yes","no",31,"yes"
1282,16,12,"other","yes","no",34,"yes"
577,12,6,"other","yes","no",24,"yes"
444,18,3,"other","yes","no",27,"yes"
481,16,6,"afam","yes","no",28,"yes"
467,12,6,"afam","yes","no",24,"yes"
668,6,19,"other","yes","no",31,"yes"
286,15,6,"other","yes","no",27,"yes"
577,18,9,"other","yes","no",33,"yes"
721,14,9,"other","yes","no",29,"yes"
462,12,7,"other","yes","no",25,"yes"
750,15,4,"other","yes","no",25,"yes"
200,12,6,"other","yes","no",24,"yes"
650,12,9,"other","yes","no",27,"yes"
481,18,4,"other","yes","no",28,"yes"
600,11,7,"other","yes","no",24,"yes"
769,16,6,"other","yes","yes",28,"yes"
775,17,4,"other","yes","no",27,"yes"
641,16,2,"other","yes","no",24,"yes"
1055,14,13,"other","yes","no",33,"yes"
676,16,9,"other","yes","no",31,"yes"
691,12,10,"other","yes","no",28,"yes"
962,17,7,"other","yes","no",30,"yes"
400,13,9,"other","yes","no",28,"yes"
673,16,5,"other","yes","no",27,"yes"
1442,18,10,"afam","yes","no",34,"yes"
529,18,8,"other","yes","no",32,"yes"
700,14,7,"afam","yes","no",27,"yes"
675,8,20,"afam","yes","no",34,"yes"
494,18,1,"other","yes","no",25,"yes"
500,12,6,"other","yes","no",24,"yes"
450,16,2,"afam","yes","no",24,"yes"
601,13,6,"afam","yes","no",25,"yes"
717,13,9,"afam","yes","no",28,"yes"
575,12,11,"afam","yes","no",29,"yes"
350,12,7,"afam","yes","no",25,"yes"
350,12,6,"afam","yes","no",24,"yes"
643,16,7,"other","yes","no",29,"yes"
675,15,3,"other","yes","no",24,"yes"
679,15,7,"other","yes","no",28,"yes"
534,12,9,"other","yes","no",27,"yes"
524,16,9,"other","yes","no",31,"yes"
667,16,6,"other","yes","yes",28,"yes"
370,14,6,"other","yes","no",26,"yes"
658,15,5,"other","yes","no",26,"yes"
700,12,16,"afam","yes","no",34,"yes"
311,18,3,"other","yes","no",27,"yes"
841,9,18,"other","yes","no",33,"yes"
660,14,11,"other","yes","no",31,"yes"
692,16,9,"other","yes","no",31,"yes"
577,15,7,"other","yes","no",28,"yes"
705,17,3,"other","yes","no",26,"yes"
292,16,5,"other","yes","yes",27,"yes"
750,13,7,"other","yes","no",26,"yes"
1442,16,12,"other","yes","no",34,"yes"
1202,16,11,"other","yes","no",33,"yes"
1603,15,12,"other","yes","yes",33,"yes"
769,14,12,"other","yes","yes",32,"yes"
513,16,9,"other","yes","no",31,"yes"
805,12,13,"other","yes","no",31,"yes"
962,17,11,"other","yes","no",34,"yes"
675,12,7,"other","yes","no",25,"yes"
398,13,5,"other","yes","no",24,"yes"
855,14,13,"other","yes","no",33,"yes"
693,11,8,"afam","yes","no",25,"yes"
641,11,7,"afam","yes","no",24,"yes"
345,13,8,"afam","yes","no",27,"yes"
561,12,9,"afam","yes","no",27,"yes"
684,12,6,"afam","yes","no",24,"yes"
469,16,7,"other","yes","yes",29,"yes"
300,16,4,"other","yes","no",26,"yes"
673,18,1,"other","yes","no",25,"yes"
385,16,2,"other","yes","no",24,"yes"
808,16,11,"other","yes","no",33,"yes"
548,17,1,"other","yes","no",24,"yes"
500,16,4,"other","yes","no",26,"yes"
727,13,10,"other","yes","no",29,"yes"
524,16,6,"other","yes","no",28,"yes"
450,15,3,"afam","yes","no",24,"yes"
755,12,10,"afam","yes","no",28,"yes"
640,12,6,"afam","yes","no",24,"yes"
313,12,6,"afam","yes","no",24,"yes"
1425,12,11,"other","yes","no",29,"yes"
761,12,10,"other","yes","no",28,"yes"
600,12,8,"other","yes","no",26,"yes"
1111,16,10,"other","yes","no",32,"yes"
763,16,11,"other","yes","no",33,"yes"
650,12,14,"other","yes","no",32,"yes"
1155,14,7,"other","yes","no",27,"yes"
600,12,6,"other","yes","no",24,"yes"
555,12,11,"other","yes","no",29,"yes"
543,11,11,"other","yes","no",28,"yes"
550,11,8,"other","yes","no",25,"yes"
800,11,14,"other","yes","no",31,"yes"
1000,11,9,"other","yes","no",26,"yes"
864,12,13,"other","yes","no",31,"yes"
613,13,13,"other","yes","no",32,"yes"
519,16,2,"other","yes","no",24,"yes"
707,13,11,"afam","yes","no",30,"yes"
818,13,7,"afam","yes","no",26,"yes"
300,10,9,"afam","yes","no",25,"yes"
702,16,8,"other","yes","no",30,"yes"
1322,16,12,"other","yes","no",34,"yes"
380,12,9,"afam","yes","no",27,"yes"
400,11,9,"afam","yes","no",26,"yes"
498,11,8,"afam","yes","no",25,"yes"
663,10,17,"afam","yes","no",33,"yes"
600,10,17,"afam","yes","no",33,"yes"
1034,18,8,"other","no","yes",32,"yes"
1079,14,5,"other","yes","no",25,"yes"
400,18,0,"other","yes","yes",24,"yes"
641,16,11,"other","yes","no",33,"yes"
620,12,14,"other","yes","no",32,"yes"
481,17,7,"other","yes","no",30,"yes"
1058,16,11,"other","yes","no",33,"yes"
545,12,8,"other","yes","no",26,"yes"
786,14,6,"other","yes","no",26,"yes"
485,18,1,"other","yes","no",25,"yes"
722,14,14,"other","yes","no",34,"yes"
695,15,7,"other","yes","no",28,"yes"
549,15,13,"other","yes","no",34,"yes"
793,15,11,"other","yes","no",32,"yes"
1923,16,11,"other","yes","yes",33,"yes"
793,15,12,"other","yes","no",33,"yes"
900,15,7,"other","yes","no",28,"yes"
654,14,12,"other","yes","no",32,"yes"
513,12,9,"other","yes","no",27,"yes"
384,14,9,"other","yes","no",29,"yes"
500,16,5,"other","no","yes",27,"yes"
601,15,4,"other","yes","no",25,"yes"
438,12,9,"other","yes","no",27,"yes"
500,12,7,"other","yes","no",25,"yes"
1264,18,9,"other","yes","no",33,"yes"
747,14,6,"other","yes","yes",26,"yes"
513,14,7,"other","yes","no",27,"yes"
700,12,15,"other","yes","yes",33,"yes"
672,16,7,"other","yes","no",29,"yes"
983,17,7,"other","yes","no",30,"yes"
220,13,10,"other","no","no",29,"yes"
1202,18,9,"other","yes","no",33,"yes"
667,12,12,"other","no","no",30,"yes"
838,14,8,"afam","yes","no",28,"yes"
444,15,4,"other","yes","no",25,"yes"
543,12,7,"other","yes","no",25,"yes"
505,14,10,"other","yes","yes",30,"yes"
797,12,13,"other","no","no",31,"yes"
357,9,9,"other","yes","no",24,"yes"
500,12,9,"other","yes","no",27,"yes"
962,12,16,"other","yes","no",34,"yes"
350,11,11,"other","yes","no",28,"yes"
313,15,3,"other","yes","no",24,"yes"
117,16,2,"other","yes","yes",24,"yes"
726,12,15,"other","yes","no",33,"yes"
536,13,14,"afam","yes","no",33,"yes"
532,13,7,"afam","yes","yes",26,"yes"
428,17,5,"afam","yes","yes",28,"yes"
1094,16,12,"other","yes","no",34,"yes"
1925,12,15,"other","yes","no",33,"yes"
850,18,8,"other","yes","yes",32,"yes"
365,12,6,"other","yes","no",24,"yes"
474,16,4,"other","yes","no",26,"yes"
656,13,7,"other","yes","no",26,"yes"
440,12,7,"other","yes","no",25,"yes"
462,14,5,"other","yes","no",25,"yes"
673,16,6,"other","yes","no",28,"no"
1150,12,6,"other","yes","no",24,"no"
800,12,13,"other","yes","no",31,"no"
460,12,7,"other","yes","no",25,"no"
334,12,8,"other","yes","no",26,"no"
702,13,7,"other","yes","no",26,"no"
524,12,7,"other","yes","no",25,"no"
667,7,20,"other","no","no",33,"yes"
641,18,2,"other","yes","no",26,"yes"
800,12,6,"other","yes","no",24,"yes"
577,12,14,"other","yes","no",32,"yes"
423,18,8,"other","no","no",32,"yes"
874,18,5,"other","yes","no",29,"yes"
640,15,7,"other","yes","no",28,"yes"
1101,16,7,"other","yes","yes",29,"no"
649,16,4,"other","yes","no",26,"no"
450,12,8,"other","yes","yes",26,"no"
924,12,15,"other","yes","no",33,"no"
698,11,10,"other","yes","no",27,"no"
505,15,13,"afam","yes","no",34,"no"
556,16,6,"other","yes","yes",28,"no"
375,17,2,"other","no","no",25,"no"
673,15,7,"other","yes","yes",28,"no"
308,13,11,"other","yes","no",30,"no"
585,12,16,"other","yes","no",34,"no"
781,12,6,"other","yes","no",24,"no"
656,12,9,"other","yes","no",27,"yes"
423,12,10,"other","yes","no",28,"yes"
1282,16,6,"other","yes","no",28,"yes"
962,12,7,"other","yes","no",25,"yes"
800,12,12,"other","yes","no",30,"yes"
750,12,15,"other","yes","no",33,"yes"
647,18,5,"other","yes","no",29,"yes"
938,12,11,"other","yes","no",29,"yes"
537,17,5,"other","yes","no",28,"yes"
290,15,3,"other","yes","no",24,"yes"
192,12,11,"other","no","yes",29,"yes"
818,18,6,"other","yes","no",30,"yes"
813,18,6,"other","yes","no",30,"yes"
727,12,11,"other","yes","no",29,"yes"
1125,12,6,"other","yes","no",24,"yes"
615,17,5,"afam","yes","no",28,"yes"
403,12,8,"afam","yes","no",26,"yes"
705,11,9,"other","yes","no",26,"yes"
337,15,6,"other","yes","no",27,"yes"
833,17,5,"other","yes","no",28,"yes"
192,17,3,"other","yes","no",26,"yes"
730,12,8,"other","yes","no",26,"yes"
542,10,10,"other","yes","no",26,"yes"
823,12,10,"other","no","no",28,"yes"
438,12,8,"other","yes","yes",26,"yes"
735,14,4,"other","yes","yes",24,"yes"
427,16,2,"other","yes","no",24,"yes"
340,12,12,"other","no","no",30,"yes"
481,13,15,"other","yes","yes",34,"yes"
817,16,10,"other","yes","no",32,"yes"
500,12,10,"other","no","no",28,"yes"
543,12,7,"afam","yes","no",25,"yes"
447,16,4,"other","yes","no",26,"yes"
217,15,4,"other","no","no",25,"yes"
275,8,12,"other","yes","no",26,"yes"
352,15,3,"afam","yes","no",24,"yes"
721,12,11,"other","no","no",29,"yes"
1008,12,9,"other","no","no",27,"yes"
654,17,6,"other","yes","no",29,"yes"
803,16,4,"other","yes","no",26,"yes"
570,12,9,"other","yes","no",27,"yes"
600,16,3,"other","yes","no",25,"yes"
645,12,6,"other","yes","no",24,"yes"
450,13,7,"other","yes","no",26,"yes"
445,13,7,"other","yes","yes",26,"yes"
590,15,8,"other","no","no",29,"yes"
721,14,5,"other","yes","no",25,"yes"
693,12,14,"other","yes","no",32,"yes"
529,13,7,"other","yes","yes",26,"yes"
470,9,15,"other","yes","no",30,"yes"
481,16,4,"other","yes","no",26,"yes"
462,16,3,"other","yes","no",25,"yes"
554,17,10,"other","yes","no",33,"yes"
865,14,12,"other","yes","no",32,"yes"
713,16,8,"other","no","no",30,"yes"
740,12,6,"other","no","no",24,"yes"
817,14,8,"other","yes","no",28,"yes"
677,12,16,"other","yes","no",34,"yes"
797,16,7,"other","yes","no",29,"yes"
769,13,5,"other","yes","no",24,"yes"
462,16,3,"other","yes","no",25,"yes"
519,14,4,"other","yes","no",24,"yes"
393,12,7,"other","no","no",25,"yes"
800,13,13,"other","yes","yes",32,"yes"
673,17,4,"other","yes","no",27,"no"
481,16,11,"other","no","no",33,"no"
911,12,14,"other","no","no",32,"no"
481,12,7,"other","no","no",25,"no"
500,11,16,"other","no","no",33,"no"
385,16,2,"other","no","no",24,"no"
436,12,6,"other","yes","no",24,"no"
526,12,7,"other","no","no",25,"no"
913,14,9,"other","no","no",29,"no"
542,16,3,"other","no","no",25,"no"
769,13,9,"other","no","no",28,"no"
226,12,6,"other","no","no",24,"no"
711,18,3,"other","no","no",27,"no"
346,18,10,"other","no","no",34,"no"
787,12,14,"other","no","no",32,"no"
455,14,6,"other","yes","no",26,"no"
460,16,2,"other","yes","no",24,"no"
277,13,7,"other","no","no",26,"no"
808,17,11,"other","yes","no",34,"no"
624,14,7,"other","no","no",27,"no"
697,12,8,"other","yes","no",26,"no"
378,14,6,"other","no","no",26,"no"
473,12,6,"other","no","no",24,"no"
425,12,6,"other","no","no",24,"no"
649,16,2,"other","no","no",24,"no"
491,15,4,"other","yes","no",25,"no"
924,18,2,"other","no","no",26,"no"
350,12,6,"other","no","no",24,"no"
600,13,6,"other","no","no",25,"no"
429,9,16,"other","no","no",31,"no"
500,12,8,"other","no","no",26,"no"
500,9,9,"other","no","no",24,"no"
350,8,20,"other","no","no",34,"no"
370,14,7,"other","no","no",27,"no"
380,16,2,"other","no","no",24,"no"
250,14,5,"other","no","no",25,"no"
506,18,6,"other","yes","no",30,"no"
619,12,9,"other","yes","no",27,"no"
381,16,2,"other","no","no",24,"no"
361,12,12,"other","no","no",30,"no"
588,12,10,"other","yes","no",28,"no"
350,12,6,"other","yes","no",24,"no"
484,12,14,"other","yes","no",32,"no"
835,11,17,"other","no","no",34,"no"
535,10,13,"other","yes","no",29,"no"
385,17,5,"other","no","no",28,"yes"
450,11,8,"other","no","no",25,"yes"
491,16,6,"other","no","no",28,"yes"
914,12,6,"other","no","no",24,"yes"
831,18,8,"other","yes","no",32,"yes"
434,12,12,"other","no","no",30,"yes"
700,12,8,"other","no","no",26,"yes"
542,10,10,"other","no","no",26,"yes"
231,16,2,"other","no","no",24,"yes"
395,12,16,"other","no","no",34,"no"
721,12,7,"other","yes","no",25,"no"
1187,12,7,"other","no","no",25,"no"
501,12,7,"other","yes","no",25,"no"
336,16,2,"other","yes","no",24,"yes"
565,12,14,"other","no","no",32,"yes"
964,17,11,"other","no","yes",34,"no"
1374,12,15,"other","yes","no",33,"no"
800,12,10,"other","yes","no",28,"no"
609,12,12,"other","yes","no",30,"no"
670,16,3,"other","yes","no",25,"no"
445,11,8,"other","yes","no",25,"no"
485,13,6,"other","yes","no",25,"no"
710,18,8,"other","no","no",32,"no"
953,12,14,"other","no","no",32,"no"
480,11,8,"other","no","no",25,"no"
500,13,8,"other","yes","no",27,"no"
457,16,4,"other","yes","yes",26,"no"
721,18,0,"other","no","no",24,"yes"
733,12,6,"other","no","no",24,"yes"
330,12,15,"other","no","no",33,"yes"
410,12,9,"other","no","no",27,"yes"
486,12,9,"other","no","no",27,"yes"
962,18,7,"other","yes","yes",31,"yes"
359,16,2,"other","no","no",24,"yes"
330,12,6,"other","no","no",24,"no"
625,12,10,"other","no","no",28,"no"
495,12,8,"other","no","no",26,"no"
653,12,11,"other","no","no",29,"no"
722,12,9,"other","no","no",27,"no"
704,12,7,"other","no","no",25,"no"
514,9,14,"other","no","no",29,"no"
625,12,13,"other","yes","no",31,"no"
622,18,5,"other","no","no",29,"no"
427,15,5,"other","yes","no",26,"no"
653,12,11,"other","no","no",29,"no"
643,12,12,"other","no","no",30,"no"
575,12,16,"other","yes","no",34,"no"
313,13,15,"other","no","yes",34,"no"
664,18,0,"other","no","no",24,"no"
555,13,13,"other","no","no",32,"no"
300,18,0,"other","yes","no",24,"no"
642,15,7,"other","no","no",28,"no"
667,14,8,"other","yes","no",28,"no"
1320,18,4,"other","yes","no",28,"no"
504,12,6,"other","yes","no",24,"no"
781,16,3,"other","yes","no",25,"no"
817,14,5,"other","yes","no",25,"no"
520,12,10,"other","no","no",28,"no"
577,12,9,"other","no","no",27,"no"
375,11,8,"other","no","no",25,"no"
500,12,6,"other","no","no",24,"no"
625,16,6,"other","yes","no",28,"no"
684,16,12,"other","no","no",34,"no"
470,14,6,"other","no","no",26,"no"
628,13,8,"other","no","no",27,"no"
525,13,5,"other","no","no",24,"no"
554,12,14,"other","no","no",32,"no"
641,16,3,"other","yes","no",25,"yes"
513,13,15,"other","yes","no",34,"yes"
604,12,9,"other","yes","no",27,"yes"
700,13,14,"other","yes","no",33,"yes"
606,12,15,"other","yes","no",33,"yes"
1021,12,15,"other","yes","no",33,"yes"
714,12,13,"other","yes","no",31,"yes"
500,12,10,"other","yes","no",28,"yes"
583,12,10,"other","yes","no",28,"yes"
706,12,13,"other","yes","no",31,"yes"
520,16,8,"other","no","no",30,"yes"
656,16,7,"other","yes","no",29,"yes"
684,16,6,"other","yes","no",28,"yes"
276,13,6,"other","yes","no",25,"yes"
707,13,15,"afam","yes","no",34,"yes"
788,12,16,"other","yes","no",34,"yes"
1319,18,7,"other","yes","no",31,"yes"
404,14,8,"other","yes","no",28,"yes"
300,16,3,"other","yes","no",25,"yes"
673,12,8,"other","yes","no",26,"yes"
722,12,16,"other","yes","no",34,"yes"
769,16,4,"other","no","no",26,"yes"
760,16,8,"other","no","no",30,"yes"
434,18,6,"other","no","no",30,"yes"
1192,13,15,"other","no","no",34,"yes"
462,17,8,"other","no","no",31,"yes"
370,12,6,"other","no","no",24,"yes"
475,12,12,"other","no","no",30,"yes"
435,12,10,"other","no","no",28,"yes"
332,12,8,"other","no","no",26,"yes"
640,16,9,"other","yes","no",31,"yes"
505,12,16,"other","no","no",34,"yes"
625,16,7,"other","no","no",29,"yes"
462,12,13,"other","no","no",31,"yes"
817,17,4,"other","yes","yes",27,"yes"
433,17,1,"other","yes","no",24,"yes"
641,14,5,"other","yes","no",25,"yes"
225,15,4,"other","no","no",25,"yes"
721,15,13,"afam","yes","no",34,"yes"
722,16,4,"other","yes","no",26,"yes"
817,16,7,"other","yes","no",29,"yes"
664,16,5,"other","yes","no",27,"yes"
897,18,4,"other","yes","no",28,"yes"
793,11,17,"other","yes","no",34,"yes"
539,15,10,"other","yes","no",31,"yes"
897,11,10,"other","yes","no",27,"yes"
721,15,9,"other","yes","no",30,"yes"
925,13,5,"other","yes","no",24,"yes"
508,12,10,"other","yes","no",28,"yes"
929,16,10,"other","yes","no",32,"yes"
705,17,10,"other","yes","no",33,"yes"
865,12,12,"other","yes","no",30,"yes"
520,16,2,"other","yes","no",24,"yes"
417,12,6,"other","yes","no",24,"yes"
266,15,5,"other","yes","no",26,"yes"
625,15,3,"other","yes","no",24,"yes"
940,12,13,"other","yes","no",31,"yes"
766,16,3,"other","yes","no",25,"yes"
801,9,14,"other","yes","no",29,"yes"
707,15,7,"other","yes","no",28,"yes"
684,12,12,"other","yes","no",30,"yes"
417,16,4,"other","yes","no",26,"yes"
600,18,5,"other","yes","no",29,"yes"
682,15,4,"other","yes","no",25,"yes"
918,18,7,"other","no","no",31,"yes"
738,12,14,"other","yes","no",32,"yes"
1167,12,10,"other","yes","no",28,"yes"
765,11,12,"other","yes","no",29,"yes"
962,12,8,"other","yes","no",26,"yes"
300,18,3,"other","yes","no",27,"yes"
658,16,2,"other","yes","no",24,"yes"
462,12,8,"other","yes","no",26,"yes"
721,12,6,"other","yes","no",24,"yes"
865,12,7,"other","yes","no",25,"yes"
596,11,7,"other","yes","no",24,"yes"
909,12,14,"other","yes","no",32,"yes"
1049,12,11,"other","yes","no",29,"yes"
455,13,15,"other","yes","yes",34,"yes"
675,12,9,"afam","no","yes",27,"yes"
721,12,6,"afam","yes","no",24,"yes"
600,7,20,"afam","yes","no",33,"yes"
925,12,10,"afam","yes","no",28,"yes"
750,12,10,"other","yes","no",28,"yes"
563,12,10,"other","yes","no",28,"yes"
625,14,6,"other","yes","no",26,"yes"
300,10,13,"other","no","no",29,"yes"
1380,12,9,"other","no","no",27,"yes"
470,14,5,"other","yes","no",25,"yes"
788,12,10,"other","yes","no",28,"yes"
230,16,3,"other","yes","no",25,"yes"
389,10,11,"other","no","no",27,"no"
315,12,15,"other","yes","no",33,"no"
355,17,6,"other","yes","no",29,"no"
500,8,12,"other","yes","no",26,"no"
650,11,16,"other","no","no",33,"no"
815,12,9,"other","yes","no",27,"no"
649,13,7,"other","no","no",26,"no"
435,12,11,"other","yes","no",29,"no"
600,11,10,"other","no","no",27,"no"
206,13,7,"other","yes","yes",26,"no"
481,12,9,"other","yes","yes",27,"no"
485,13,5,"other","yes","yes",24,"no"
759,18,5,"other","yes","no",29,"no"
995,12,8,"other","yes","no",26,"no"
1167,12,11,"other","yes","no",29,"yes"
314,16,3,"other","yes","no",25,"yes"
915,13,6,"other","yes","no",25,"yes"
664,13,7,"other","yes","no",26,"yes"
783,12,11,"other","yes","no",29,"yes"
650,13,13,"other","yes","no",32,"yes"
267,9,12,"other","yes","yes",27,"yes"
355,8,19,"other","no","no",33,"yes"
440,8,19,"other","no","no",33,"yes"
475,11,13,"other","yes","no",30,"yes"
726,11,15,"other","yes","no",32,"yes"
721,16,6,"other","yes","no",28,"yes"
563,12,16,"other","yes","no",34,"yes"
600,12,8,"other","yes","no",26,"yes"
692,15,4,"other","yes","no",25,"yes"
423,15,7,"other","yes","no",28,"yes"
786,12,6,"other","yes","no",24,"yes"
1202,12,13,"other","yes","no",31,"yes"
577,16,12,"other","yes","no",34,"yes"
635,18,3,"other","no","no",27,"yes"
410,12,9,"other","yes","no",27,"yes"
370,16,2,"other","yes","no",24,"yes"
789,16,4,"other","yes","no",26,"yes"
450,17,1,"other","yes","no",24,"yes"
1251,12,10,"other","yes","no",28,"yes"
808,16,8,"other","yes","no",30,"yes"
308,16,8,"other","yes","no",30,"yes"
817,12,12,"other","no","no",30,"yes"
673,16,8,"other","yes","no",30,"yes"
524,12,11,"other","no","no",29,"yes"
275,15,9,"other","no","no",30,"yes"
423,17,5,"other","no","no",28,"yes"
641,16,6,"other","yes","no",28,"yes"
450,12,10,"other","no","no",28,"yes"
333,12,8,"other","no","no",26,"yes"
913,12,14,"other","no","no",32,"yes"
128,11,10,"other","no","no",27,"yes"
396,16,5,"other","no","no",27,"yes"
475,13,9,"other","yes","no",28,"yes"
450,13,12,"other","no","no",31,"yes"
300,16,2,"other","no","no",24,"yes"
462,18,5,"other","yes","no",29,"yes"
630,12,14,"other","no","no",32,"yes"
485,12,15,"other","no","no",33,"yes"
549,12,12,"other","no","no",30,"yes"
372,12,7,"other","no","no",25,"yes"
641,12,16,"other","no","no",34,"yes"
519,12,11,"other","yes","no",29,"yes"
385,9,11,"other","no","no",26,"yes"
450,16,7,"other","yes","yes",29,"yes"
315,12,8,"other","no","no",26,"no"
731,14,9,"other","no","no",29,"no"
325,12,14,"other","no","no",32,"no"
616,16,6,"other","yes","no",28,"no"
346,15,9,"other","yes","no",30,"no"
471,13,9,"other","yes","no",28,"no"
300,12,9,"other","no","no",27,"no"
430,13,5,"other","yes","no",24,"yes"
267,12,10,"afam","yes","no",28,"yes"
230,12,10,"other","yes","no",28,"yes"
432,14,4,"other","yes","no",24,"yes"
531,12,8,"other","yes","no",26,"yes"
1100,12,9,"other","yes","no",27,"yes"
588,12,10,"afam","yes","no",28,"yes"
841,18,6,"other","no","no",30,"yes"
641,15,3,"other","yes","no",24,"yes"
962,14,14,"other","yes","no",34,"yes"
921,13,14,"other","yes","no",33,"yes"
350,15,6,"other","no","no",27,"no"
385,16,2,"other","no","no",24,"no"
618,16,11,"other","no","no",33,"no"
470,13,12,"other","yes","no",31,"no"
411,12,9,"other","no","no",27,"no"
400,12,7,"other","no","no",25,"no"
700,11,16,"other","yes","no",33,"no"
311,15,6,"other","yes","no",27,"no"
243,14,4,"other","no","yes",24,"no"
248,12,14,"afam","yes","yes",32,"no"
423,11,13,"afam","yes","no",30,"no"
600,11,16,"afam","yes","no",33,"no"
700,17,2,"afam","yes","no",25,"no"
300,12,6,"other","yes","no",24,"no"
691,12,6,"other","yes","no",24,"no"
600,12,12,"other","yes","no",30,"no"
700,12,12,"other","yes","no",30,"no"
275,14,5,"other","no","no",25,"no"
675,9,19,"afam","yes","no",34,"no"
449,17,5,"other","yes","no",28,"no"
635,16,8,"other","yes","no",30,"no"
1250,14,9,"other","no","no",29,"no"
962,18,5,"other","yes","no",29,"no"
490,18,1,"other","no","no",25,"no"
586,12,6,"other","no","no",24,"no"
750,14,13,"other","no","no",33,"no"
326,18,2,"other","no","no",26,"no"
430,18,5,"other","yes","no",29,"no"
571,12,8,"other","yes","no",26,"no"
913,16,6,"other","no","no",28,"no"
577,14,10,"other","no","no",30,"no"
433,11,15,"other","no","no",32,"no"
505,12,6,"other","no","no",24,"no"
721,18,10,"other","no","no",34,"yes"
962,16,11,"other","yes","no",33,"yes"
609,12,13,"other","yes","no",31,"yes"
450,12,7,"other","no","no",25,"yes"
625,12,15,"other","no","no",33,"no"
713,14,6,"other","no","no",26,"no"
710,12,6,"other","no","no",24,"no"
913,16,10,"other","yes","no",32,"no"
418,8,10,"other","no","no",24,"no"
692,13,10,"other","no","no",29,"no"
260,12,16,"other","yes","no",34,"no"
650,13,7,"other","yes","no",26,"no"
610,14,5,"other","yes","no",25,"no"
726,12,11,"other","yes","no",29,"no"
767,13,13,"other","yes","no",32,"no"
620,12,9,"other","no","no",27,"no"
721,16,5,"other","yes","no",27,"no"
516,18,2,"other","yes","no",26,"no"
400,12,7,"other","no","no",25,"no"
808,14,7,"other","yes","yes",27,"no"
